track_id,track_name,artist_name,recommended_id,recommended_name,recommended_artist,similarity_score
17iGUekw5nFt5mIRJcUm3R,chúng ta của hiện tại,sơn tùng mtp,4LXUyy31xgYD77WF021thO,body shaming,choco,0.0
17iGUekw5nFt5mIRJcUm3R,chúng ta của hiện tại,sơn tùng mtp,7mH8VdFhEd8HsaOWA9nIGa,một vòng việt nam,tùng dương,0.0
17iGUekw5nFt5mIRJcUm3R,chúng ta của hiện tại,sơn tùng mtp,5vdk0jlH4LLXAUD8rRD4Zp,ngoài 30,thái học,0.0
17iGUekw5nFt5mIRJcUm3R,chúng ta của hiện tại,sơn tùng mtp,2rIFRse00Znv6FfpQBdthx,xem như anh chẳng may,chu thúy quỳnh,0.0
17iGUekw5nFt5mIRJcUm3R,chúng ta của hiện tại,sơn tùng mtp,1oVbTGLd8EgyeWBoqAYBD0,vừa hận vừa yêu,trung tu,0.0
17iGUekw5nFt5mIRJcUm3R,chúng ta của hiện tại,sơn tùng mtp,5ZMDJIYgsZWHXw2ILFblva,thu cuối,yanbi,0.0
17iGUekw5nFt5mIRJcUm3R,chúng ta của hiện tại,sơn tùng mtp,5cRFdpJblsJpXTDqEhs5jQ,người ta đâu thương em,lyly,0.0
17iGUekw5nFt5mIRJcUm3R,chúng ta của hiện tại,sơn tùng mtp,5sL91wED2A7xUusG03SJie,hoa nở bên đường,quang đăng trần,0.0
17iGUekw5nFt5mIRJcUm3R,chúng ta của hiện tại,sơn tùng mtp,46V6gwzPtA2OhSCIU2d75T,đậm sâu đến mấy cũng tàn,võ đức trí,0.0
17iGUekw5nFt5mIRJcUm3R,chúng ta của hiện tại,sơn tùng mtp,6156vnsRddJKe267tuaTRx,cung anh ngoc dolil hagi stee original,ngọc dolil,0.0
7LVrrX8pkzI9fMF88nGabt,đi về nhà,đen,4Hl5xGxcNwKha6N08KmjMm,khó,nam cường,1.0
7LVrrX8pkzI9fMF88nGabt,đi về nhà,đen,38rjRVqEHSlDRrDWDvjkqW,bước qua nhau,vũ,1.0
7LVrrX8pkzI9fMF88nGabt,đi về nhà,đen,2qc4FFBylFT5YhvMJMX50R,đi để trở về,soobin,1.0
